,id,accession_number,artist,artistRole,artistId,title,dateText,medium,creditLine,year,acquisitionYear,dimensions,width,height,depth,units,inscription,thumbnailCopyright,thumbnailUrl,url
27373,51986,D24649,"Turner, Joseph Mallord William",artist,558,Honfleur: The Lieutenancy from across the Vieux Bassin,c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 137 x 194 mm,137,194,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24649_8.jpg,http://www.tate.org.uk/art/artworks/turner-honfleur-the-lieutenancy-from-across-the-vieux-bassin-d24649
27374,51987,D24650,"Turner, Joseph Mallord William",artist,558,"Montivilliers, near Le Havre",c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 139 x 191 mm,139,191,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24650_8.jpg,http://www.tate.org.uk/art/artworks/turner-montivilliers-near-le-havre-d24650
27375,51988,D24651,"Turner, Joseph Mallord William",artist,558,Harfleur: The Church of St-Martin Seen from the Banks of the River Lézarde,c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 138 x 187 mm,138,187,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24651_8.jpg,http://www.tate.org.uk/art/artworks/turner-harfleur-the-church-of-st-martin-seen-from-the-banks-of-the-river-lezarde-d24651
27376,51989,D24652,"Turner, Joseph Mallord William",artist,558,View of Le Havre and the Seine Estuary from the Heights of Ste-Adresse,c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 141 x 190 mm,141,190,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24652_8.jpg,http://www.tate.org.uk/art/artworks/turner-view-of-le-havre-and-the-seine-estuary-from-the-heights-of-ste-adresse-d24652
27377,51990,D24653,"Turner, Joseph Mallord William",artist,558,La Havre from near the Fort de Ste-Adresse,c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 140 x 188 mm,140,188,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24653_8.jpg,http://www.tate.org.uk/art/artworks/turner-la-havre-from-near-the-fort-de-ste-adresse-d24653
27378,51991,D24654,"Turner, Joseph Mallord William",artist,558,A Distant View of Harfleur from the West,c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 138 x 190 mm,138,190,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24654_8.jpg,http://www.tate.org.uk/art/artworks/turner-a-distant-view-of-harfleur-from-the-west-d24654
27379,51992,D24655,"Turner, Joseph Mallord William",artist,558,Rouen from the Grand Cours in the Faubourg St-Sever,c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 141 x 190 mm,141,190,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24655_8.jpg,http://www.tate.org.uk/art/artworks/turner-rouen-from-the-grand-cours-in-the-faubourg-st-sever-d24655
27380,51993,D24656,"Turner, Joseph Mallord William",artist,558,"The Château de la Madeleine, Varades",c.1826–8,"Watercolour, gouache and pen and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1826,1856.0,support: 141 x 191 mm,141,191,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24656_8.jpg,http://www.tate.org.uk/art/artworks/turner-the-chateau-de-la-madeleine-varades-d24656
27381,51994,D24657,"Turner, Joseph Mallord William",artist,558,Nantes: The Château and Cathedral from the River,c.1828,"Watercolour, gouache and pen and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1828,1856.0,support: 127 x 188 mm,127,188,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24657_8.jpg,http://www.tate.org.uk/art/artworks/turner-nantes-the-chateau-and-cathedral-from-the-river-d24657
27382,51995,D24658,"Turner, Joseph Mallord William",artist,558,Nantes: The Banks of the River Erdre and the Pont Sauvetot,?c.1826–8,"Watercolour, gouache and pen and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1826,1856.0,support: 128 x 182 mm,128,182,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24658_8.jpg,http://www.tate.org.uk/art/artworks/turner-nantes-the-banks-of-the-river-erdre-and-the-pont-sauvetot-d24658
27383,51996,D24659,"Turner, Joseph Mallord William",artist,558,Angers: Looking South Down the Maine,c.1826–8,"Watercolour, gouache and pen and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1826,1856.0,support: 130 x 183 mm,130,183,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24659_8.jpg,http://www.tate.org.uk/art/artworks/turner-angers-looking-south-down-the-maine-d24659
27384,51997,D24660,"Turner, Joseph Mallord William",artist,558,Beaugency from the North-East,c.1826–30,"Watercolour, gouache and pen and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1830,1856.0,support: 138 x 188 mm,138,188,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24660_8.jpg,http://www.tate.org.uk/art/artworks/turner-beaugency-from-the-north-east-d24660
27385,51998,D24661,"Turner, Joseph Mallord William",artist,558,Beaugency from the South,c.1826–30,"Watercolour, gouache and pen and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1826,1856.0,support: 124 x 183 mm,124,183,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24661_8.jpg,http://www.tate.org.uk/art/artworks/turner-beaugency-from-the-south-d24661
27386,51999,D24662,"Turner, Joseph Mallord William",artist,558,Blois: The Façade des Loges of the Château from Below,c.1828–30,"Watercolour, gouache and pen and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1828,1856.0,support: 138 x 191 mm,138,191,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24662_8.jpg,http://www.tate.org.uk/art/artworks/turner-blois-the-facade-des-loges-of-the-chateau-from-below-d24662
27387,52000,D24663,"Turner, Joseph Mallord William",artist,558,"The Ruined Péage at Champtoceaux, from the West",c.1826–8,Watercolour and gouache on paper,Accepted by the nation as part of the Turner Bequest 1856,1826,1856.0,support: 141 x 189 mm,141,189,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24663_8.jpg,http://www.tate.org.uk/art/artworks/turner-the-ruined-peage-at-champtoceaux-from-the-west-d24663
27388,52001,D24664,"Turner, Joseph Mallord William",artist,558,Liège from the Pont des Arches,c.1839,"Gouache, pen and ink and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1839,1856.0,support: 141 x 191 mm,141,191,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24664_8.jpg,http://www.tate.org.uk/art/artworks/turner-liege-from-the-pont-des-arches-d24664
27389,52002,D24665,"Turner, Joseph Mallord William",artist,558,River with Bridge and Fortifications,c.1830,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1830,1856.0,support: 137 x 190 mm,137,190,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24665_8.jpg,http://www.tate.org.uk/art/artworks/turner-river-with-bridge-and-fortifications-d24665
27390,52003,D24666,"Turner, Joseph Mallord William",artist,558,The Scarlet Sunset,c.1830–40,Watercolour and gouache on paper,Accepted by the nation as part of the Turner Bequest 1856,1830,1856.0,support: 134 x 189 mm,134,189,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24666_8.jpg,http://www.tate.org.uk/art/artworks/turner-the-scarlet-sunset-d24666
27391,52004,D24667,"Turner, Joseph Mallord William",artist,558,Harfleur,c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 138 x 192 mm,138,192,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24667_8.jpg,http://www.tate.org.uk/art/artworks/turner-harfleur-d24667
27392,52005,D24668,"Turner, Joseph Mallord William",artist,558,Quillebeuf,c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 140 x 189 mm,140,189,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24668_8.jpg,http://www.tate.org.uk/art/artworks/turner-quillebeuf-d24668
27393,52006,D24669,"Turner, Joseph Mallord William",artist,558,Between Quillebeuf and Villequier,c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 137 x 191 mm,137,191,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24669_8.jpg,http://www.tate.org.uk/art/artworks/turner-between-quillebeuf-and-villequier-d24669
27394,52007,D24670,"Turner, Joseph Mallord William",artist,558,Caudebec-en-Caux,c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 138 x 190 mm,138,190,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24670_8.jpg,http://www.tate.org.uk/art/artworks/turner-caudebec-en-caux-d24670
27395,52008,D24671,"Turner, Joseph Mallord William",artist,558,"La Chaire de Gargantua, near Duclair",c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 138 x 189 mm,138,189,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24671_8.jpg,http://www.tate.org.uk/art/artworks/turner-la-chaire-de-gargantua-near-duclair-d24671
27396,52009,D24672,"Turner, Joseph Mallord William",artist,558,"Rouen, Looking Upriver",c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 140 x 192 mm,140,192,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24672_8.jpg,http://www.tate.org.uk/art/artworks/turner-rouen-looking-upriver-d24672
27397,52010,D24673,"Turner, Joseph Mallord William",artist,558,"Rouen, Looking Downstream",c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 140 x 192 mm,140,192,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24673_8.jpg,http://www.tate.org.uk/art/artworks/turner-rouen-looking-downstream-d24673
27398,52011,D24674,"Turner, Joseph Mallord William",artist,558,Rouen Cathedral,c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 140 x 194 mm,140,194,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24674_8.jpg,http://www.tate.org.uk/art/artworks/turner-rouen-cathedral-d24674
27399,52012,D24675,"Turner, Joseph Mallord William",artist,558,"Lillebonne, Looking towards the Seine",c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 141 x 191 mm,141,191,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24675_8.jpg,http://www.tate.org.uk/art/artworks/turner-lillebonne-looking-towards-the-seine-d24675
27400,52013,D24676,"Turner, Joseph Mallord William",artist,558,"Lillebonne, The Château from above the Roman Amphitheatre",c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 140 x 192 mm,140,192,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24676_8.jpg,http://www.tate.org.uk/art/artworks/turner-lillebonne-the-chateau-from-above-the-roman-amphitheatre-d24676
27401,52014,D24677,"Turner, Joseph Mallord William",artist,558,Pont de l’Arche,c.1833,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1833,1856.0,support: 140 x 191 mm,140,191,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24677_8.jpg,http://www.tate.org.uk/art/artworks/turner-pont-de-larche-d24677
27402,52015,D24678,"Turner, Joseph Mallord William",artist,558,Château Gaillard from the East,c.1833,"Gouache, pen and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1833,1856.0,support: 141 x 191 mm,141,191,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24678_8.jpg,http://www.tate.org.uk/art/artworks/turner-chateau-gaillard-from-the-east-d24678
27403,52016,D24679,"Turner, Joseph Mallord William",artist,558,View on the Seine between Mantes and Vernon (Rolleboise on the road from Bonnieres),c.1833,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1833,1856.0,support: 143 x 194 mm,143,194,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24679_8.jpg,http://www.tate.org.uk/art/artworks/turner-view-on-the-seine-between-mantes-and-vernon-rolleboise-on-the-road-from-bonnieres-d24679
27404,52017,D24680,"Turner, Joseph Mallord William",artist,558,Mantes,c.1833,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1833,1856.0,support: 142 x 194 mm,142,194,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24680_8.jpg,http://www.tate.org.uk/art/artworks/turner-mantes-d24680
27405,52018,D24681,"Turner, Joseph Mallord William",artist,558,The Bridge of Meulan,c.1833,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1833,1856.0,support: 142 x 193 mm,142,193,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24681_8.jpg,http://www.tate.org.uk/art/artworks/turner-the-bridge-of-meulan-d24681
27406,52019,D24682,"Turner, Joseph Mallord William",artist,558,Paris from the Barrière de Passy,c.1833,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1833,1856.0,support: 143 x 194 mm,143,194,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24682_8.jpg,http://www.tate.org.uk/art/artworks/turner-paris-from-the-barriere-de-passy-d24682
27407,52020,D24683,"Turner, Joseph Mallord William",artist,558,Paris: The Pont Neuf and the Ile de la Cité,c.1833,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1833,1856.0,support: 143 x 188 mm,143,188,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24683_8.jpg,http://www.tate.org.uk/art/artworks/turner-paris-the-pont-neuf-and-the-ile-de-la-cite-d24683
27408,52021,D24684,"Turner, Joseph Mallord William",artist,558,Paris: The Hôtel de Ville and Pont d’Arcole,c.1833,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1833,1856.0,support: 142 x 192 mm,142,192,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24684_8.jpg,http://www.tate.org.uk/art/artworks/turner-paris-the-hotel-de-ville-and-pont-darcole-d24684
27409,52022,D24685,"Turner, Joseph Mallord William",artist,558,Paris: The Marché aux Fleurs and the Pont au Change,c.1833,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1833,1856.0,support: 140 x 192 mm,140,192,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24685_8.jpg,http://www.tate.org.uk/art/artworks/turner-paris-the-marche-aux-fleurs-and-the-pont-au-change-d24685
27410,52023,D24686,"Turner, Joseph Mallord William",artist,558,St-Denis,c.1833,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1833,1856.0,support: 140 x 192 mm,140,192,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24686_8.jpg,http://www.tate.org.uk/art/artworks/turner-st-denis-d24686
27411,52024,D24687,"Turner, Joseph Mallord William",artist,558,St-Germain-en-Laye,c.1833,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1833,1856.0,support: 140 x 195 mm,140,195,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24687_8.jpg,http://www.tate.org.uk/art/artworks/turner-st-germain-en-laye-d24687
27412,52025,D24688,"Turner, Joseph Mallord William",artist,558,Bridges of St-Cloud and Sèvres,c.1833,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1833,1856.0,support: 141 x 193 mm,141,193,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24688_8.jpg,http://www.tate.org.uk/art/artworks/turner-bridges-of-st-cloud-and-sevres-d24688
27413,52026,D24689,"Turner, Joseph Mallord William",artist,558,Bridge of St-Cloud from Sèvres,c.1833,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1833,1856.0,support: 140 x 191 mm,140,191,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24689_8.jpg,http://www.tate.org.uk/art/artworks/turner-bridge-of-st-cloud-from-sevres-d24689
27414,52027,D24690,"Turner, Joseph Mallord William",artist,558,Melun,c.1833,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1833,1856.0,support: 140 x 191 mm,140,191,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24690_8.jpg,http://www.tate.org.uk/art/artworks/turner-melun-d24690
27415,52028,D24691,"Turner, Joseph Mallord William",artist,558,Troyes,c.1833,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1833,1856.0,support: 142 x 191 mm,142,191,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24691_8.jpg,http://www.tate.org.uk/art/artworks/turner-troyes-d24691
27416,52029,D24692,"Turner, Joseph Mallord William",artist,558,Château Gaillard from the South (Vignette),c.1833,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1833,1856.0,support: 195 x 140 mm,195,140,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24692_8.jpg,http://www.tate.org.uk/art/artworks/turner-chateau-gaillard-from-the-south-vignette-d24692
27417,52030,D24693,"Turner, Joseph Mallord William",artist,558,Tancarville from the East (‘Front View’),c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 139 x 196 mm,139,196,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24693_8.jpg,http://www.tate.org.uk/art/artworks/turner-tancarville-from-the-east-front-view-d24693
27418,52031,D24694,"Turner, Joseph Mallord William",artist,558,Vernon,c.1833,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1833,1856.0,support: 139 x 194 mm,139,194,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24694_8.jpg,http://www.tate.org.uk/art/artworks/turner-vernon-d24694
27419,52032,D24695,"Turner, Joseph Mallord William",artist,558,"Tancarville, with the Town of Quillebeuf in the Distance (‘Back View’)",c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 140 x 191 mm,140,191,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24695_8.jpg,http://www.tate.org.uk/art/artworks/turner-tancarville-with-the-town-of-quillebeuf-in-the-distance-back-view-d24695
27420,52033,D24696,"Turner, Joseph Mallord William",artist,558,Jumièges,c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 139 x 191 mm,139,191,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24696_8.jpg,http://www.tate.org.uk/art/artworks/turner-jumieges-d24696
27421,52034,D24697,"Turner, Joseph Mallord William",artist,558,The Lanterne at St-Cloud,c.1833,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1833,1856.0,support: 140 x 190 mm,140,190,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24697_8.jpg,http://www.tate.org.uk/art/artworks/turner-the-lanterne-at-st-cloud-d24697
27422,52035,D24698,"Turner, Joseph Mallord William",artist,558,Le Havre: Sunset in the Port,c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 140 x 192 mm,140,192,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24698_8.jpg,http://www.tate.org.uk/art/artworks/turner-le-havre-sunset-in-the-port-d24698
27423,52036,D24699,"Turner, Joseph Mallord William",artist,558,Le Havre: Tour de François Ier,c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 140 x 192 mm,140,192,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24699_8.jpg,http://www.tate.org.uk/art/artworks/turner-le-havre-tour-de-francois-ier-d24699
27424,52037,D24700,"Turner, Joseph Mallord William",artist,558,Honfleur,c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 140 x 191 mm,140,191,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24700_8.jpg,http://www.tate.org.uk/art/artworks/turner-honfleur-d24700
27425,52038,D24701,"Turner, Joseph Mallord William",artist,558,Light-Towers of la Hève (Vignette),c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 187 x 133 mm,187,133,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24701_8.jpg,http://www.tate.org.uk/art/artworks/turner-light-towers-of-la-heve-vignette-d24701
27426,52039,D24702,"Turner, Joseph Mallord William",artist,558,The Folies-Siffait from the East,c.1826–8,"Watercolour, gouache and pen and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1826,1856.0,support: 145 x 196 mm,145,196,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24702_8.jpg,http://www.tate.org.uk/art/artworks/turner-the-folies-siffait-from-the-east-d24702
27427,52040,D24703,"Turner, Joseph Mallord William",artist,558,"The Folies-Siffait, with Oudon beyond, from the West",c.1826–8,"Watercolour, gouache and pen and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1826,1856.0,support: 143 x 193 mm,143,193,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24703_8.jpg,http://www.tate.org.uk/art/artworks/turner-the-folies-siffait-with-oudon-beyond-from-the-west-d24703
27428,52041,D24704,"Turner, Joseph Mallord William",artist,558,The Lighthouse at Marseilles from the Sea,c.1828,Watercolour and gouache on paper,Accepted by the nation as part of the Turner Bequest 1856,1828,1856.0,support: 142 x 190 mm,142,190,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24704_8.jpg,http://www.tate.org.uk/art/artworks/turner-the-lighthouse-at-marseilles-from-the-sea-d24704
27429,52042,D24705,"Turner, Joseph Mallord William",artist,558,Priamar on the French Riviera,c.1830,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1830,1856.0,support: 147 x 192 mm,147,192,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24705_8.jpg,http://www.tate.org.uk/art/artworks/turner-priamar-on-the-french-riviera-d24705
27432,52045,D24708,"Turner, Joseph Mallord William",artist,558,?On the Rhine,c.1830,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1830,1856.0,support: 142 x 190 mm,142,190,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24708_8.jpg,http://www.tate.org.uk/art/artworks/turner-on-the-rhine-d24708
27433,52046,D24709,"Turner, Joseph Mallord William",artist,558,Karden from the North,c.1839,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1839,1856.0,support: 139 x 193 mm,139,193,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24709_8.jpg,http://www.tate.org.uk/art/artworks/turner-karden-from-the-north-d24709
27434,52047,D24710,"Turner, Joseph Mallord William",artist,558,Saumur from the West,?c.1828,"Watercolour, gouache and pen and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1828,1856.0,support: 130 x 190 mm,130,190,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24710_8.jpg,http://www.tate.org.uk/art/artworks/turner-saumur-from-the-west-d24710
27435,52048,D24711,"Turner, Joseph Mallord William",artist,558,Namur from the Fields,c.1839,"Gouache, pen and ink and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1839,1856.0,support: 141 x 192 mm,141,192,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24711_8.jpg,http://www.tate.org.uk/art/artworks/turner-namur-from-the-fields-d24711
27436,52049,D24712,"Turner, Joseph Mallord William",artist,558,Tours from above the Place de la Tranchée at the Northern End of the Pont de Tours (Now the Place Choiseuil),c.1826–8,"Watercolour, gouache and pen and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1826,1856.0,support: 130 x 185 mm,130,185,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24712_8.jpg,http://www.tate.org.uk/art/artworks/turner-tours-from-above-the-place-de-la-tranchee-at-the-northern-end-of-the-pont-de-tours-d24712
27437,52050,D24713,"Turner, Joseph Mallord William",artist,558,?Chateau d’Arc,c.1830,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1830,1856.0,support: 224 x 298 mm,224,298,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24713_8.jpg,http://www.tate.org.uk/art/artworks/turner-chateau-darc-d24713
27438,52051,D24714,"Turner, Joseph Mallord William",artist,558,Rouen Cathedral: The Entrance to the Bookseller’s Court with the North Porch Beyond,c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 140 x 193 mm,140,193,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24714_8.jpg,http://www.tate.org.uk/art/artworks/turner-rouen-cathedral-the-entrance-to-the-booksellers-court-with-the-north-porch-beyond-d24714
27439,52052,D24715,"Turner, Joseph Mallord William",artist,558,Trier from the West,c.1839,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1839,1856.0,support: 141 x 188 mm,141,188,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24715_8.jpg,http://www.tate.org.uk/art/artworks/turner-trier-from-the-west-d24715
27440,52053,D24716,"Turner, Joseph Mallord William",artist,558,The Confluence at Namur: Moonlight,c.1839,"Gouache, pen and ink and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1839,1856.0,support: 142 x 191 mm,142,191,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24716_8.jpg,http://www.tate.org.uk/art/artworks/turner-the-confluence-at-namur-moonlight-d24716
27441,52054,D24717,"Turner, Joseph Mallord William",artist,558,The Ruined Monastery at Wolf,c.1839,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1839,1856.0,support: 141 x 190 mm,141,190,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24717_8.jpg,http://www.tate.org.uk/art/artworks/turner-the-ruined-monastery-at-wolf-d24717
27442,52055,D24718,"Turner, Joseph Mallord William",artist,558,Scene on ?Meuse or Moselle,c.1830,Watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1830,1856.0,support: 140 x 190 mm,140,190,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24718_8.jpg,http://www.tate.org.uk/art/artworks/turner-scene-on-meuse-or-moselle-d24718
27443,52056,D24719,"Turner, Joseph Mallord William",artist,558,Scene on ?Meuse or Moselle,c.1830,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1830,1856.0,support: 138 x 192 mm,138,192,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24719_8.jpg,http://www.tate.org.uk/art/artworks/turner-scene-on-meuse-or-moselle-d24719
27444,52057,D24720,"Turner, Joseph Mallord William",artist,558,Tancarville: Trees and a Hillside,c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 140 x 193 mm,140,193,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24720_8.jpg,http://www.tate.org.uk/art/artworks/turner-tancarville-trees-and-a-hillside-d24720
27445,52058,D24721,"Turner, Joseph Mallord William",artist,558,Tancarville: The Silhouette of the Tour Coquesart,c.1832,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856.0,support: 141 x 193 mm,141,193,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24721_8.jpg,http://www.tate.org.uk/art/artworks/turner-tancarville-the-silhouette-of-the-tour-coquesart-d24721
